agent,user_id,split,severity,episode,step,action_idx,scenario_type,difficulty,task_completed,reward,frustration,engagement,confidence,cooperation,fairness,num_retries,completion_time
PPO (RL Agent),user_040,test,1,0,0,96,emotion_recognition,1,True,0.9327998807968036,0.0,1.0,0.5719992053120249,0.51,0.5,0,15.72417439534205
PPO (RL Agent),user_040,test,1,0,1,17,sharing,1,True,0.7943065940052514,0.0,0.5863402627224086,0.47603010125685863,0.52,0.5,0,30.193733413497476
PPO (RL Agent),user_040,test,1,0,2,96,emotion_recognition,1,False,0.34099999999999997,0.7,1.0,0.0,0.52,0.5,0,31.258180027352395
PPO (RL Agent),user_040,test,1,0,3,96,emotion_recognition,1,True,0.9280481126228846,0.0,1.0,0.5403207508192308,0.53,0.5,0,30.466063921121304
PPO (RL Agent),user_040,test,1,0,4,17,sharing,1,True,0.7770294824109163,0.0,0.5253462956498071,0.4828372914398279,0.54,0.5,0,42.74069097417107
PPO (RL Agent),user_040,test,1,0,5,96,emotion_recognition,1,True,0.8783230333841898,0.09999999999999999,1.0,0.3088202225612659,0.55,0.5,0,39.42071099178591
PPO (RL Agent),user_040,test,1,0,6,17,sharing,1,True,0.7951271723622657,0.0,0.5602120182602186,0.5337571125613343,0.56,0.5,0,47.676180402410765
PPO (RL Agent),user_040,test,1,0,7,17,sharing,1,True,0.7505844602454623,0.09999999999999999,0.5884485483648726,0.2803326382400037,0.5700000000000001,0.5,0,52.49139536565499
PPO (RL Agent),user_040,test,1,0,8,96,emotion_recognition,1,True,0.9239318069794707,0.0,1.0,0.5128787131964718,0.5800000000000001,0.5,0,45.98127545924558
PPO (RL Agent),user_040,test,1,0,9,17,sharing,1,True,0.7965279659456976,0.0,0.5622164391357004,0.5390868946999166,0.5900000000000001,0.5,0,52.19698007060093
PPO (RL Agent),user_040,test,1,0,10,17,sharing,1,True,0.8268309527406776,0.0,0.6621873846678219,0.5411649156022077,0.6000000000000001,0.5,0,53.5270348318962
PPO (RL Agent),user_040,test,1,0,11,17,sharing,1,True,0.7565119925444641,0.0,0.4708540159261987,0.4550385851106967,0.6100000000000001,0.5,0,61.361680139906596
PPO (RL Agent),user_040,test,1,0,12,17,sharing,1,True,0.7871974291442663,0.0,0.5515186882362003,0.4982788178227072,0.6200000000000001,0.5,0,63.35139693788181
PPO (RL Agent),user_040,test,1,0,13,17,sharing,1,True,0.7364308395631634,0.09999999999999999,0.5154522411903859,0.3319677813736512,0.6300000000000001,0.5,0,66.17147224959476
PPO (RL Agent),user_040,test,1,0,14,17,sharing,1,True,0.7905389614215707,0.09999999999999999,0.6858027497531586,0.3519875766374873,0.6400000000000001,0.5,0,62.72416427649752
PPO (RL Agent),user_040,test,1,0,15,17,sharing,1,False,0.28663448052431567,0.19999999999999998,0.5397347659450784,0.058093671605280894,0.6400000000000001,0.5,0,64.75048615076507
PPO (RL Agent),user_040,test,1,0,16,96,emotion_recognition,1,False,0.45982213574415987,0.4,1.0,0.4921475716277327,0.6400000000000001,0.5,0,54.737064071717874
PPO (RL Agent),user_040,test,1,0,17,96,emotion_recognition,1,True,0.9322383757167427,0.0,1.0,0.5682558381116187,0.6500000000000001,0.5,0,47.467034958161676
PPO (RL Agent),user_040,test,1,0,18,17,sharing,1,True,0.730342376180666,0.09999999999999999,0.5001221907821672,0.3220381263067717,0.6600000000000001,0.5,0,55.721427228940186
PPO (RL Agent),user_040,test,1,0,19,17,sharing,1,False,0.33474105554418976,0.19999999999999998,0.6761708936612189,0.10593191630549403,0.6600000000000001,0.5,0,55.64280483608108
PPO (RL Agent),user_040,test,1,1,0,96,emotion_recognition,1,True,0.8749136625994085,0.09999999999999999,1.0,0.28609108399605726,0.51,0.5,0,16.598526381165577
PPO (RL Agent),user_040,test,1,1,1,96,emotion_recognition,1,True,0.8716502320306794,0.09999999999999999,0.9957474545442151,0.2728399711160992,0.52,0.5,0,22.9170139186614
PPO (RL Agent),user_040,test,1,1,2,96,emotion_recognition,1,False,0.37365467797954516,0.6,1.0,0.1176978531969679,0.52,0.5,0,23.520657185827208
PPO (RL Agent),user_040,test,1,1,3,96,emotion_recognition,1,True,0.9220278057456504,0.0,1.0,0.5001853716376694,0.53,0.5,0,26.9467326104619
