agent,user_id,split,severity,episode,step,action_idx,scenario_type,difficulty,task_completed,reward,frustration,engagement,confidence,cooperation,fairness,num_retries,completion_time
Rule-Based Adaptive,user_040,test,1,0,0,10,sharing,2,False,0.3896344588888537,0.19999999999999998,0.8361152603068333,0.15199920531202482,0.5,0.5,0,20.45508273090427
Rule-Based Adaptive,user_040,test,1,0,1,55,patience,1,True,0.838335753610683,0.0,0.7393002088764774,0.4636379396515984,0.51,0.5,0,29.53565086646489
Rule-Based Adaptive,user_040,test,1,0,2,109,emotion_recognition,1,True,0.7777575168589529,0.09999999999999999,0.6897552563300268,0.2588729330662985,0.52,0.5,0,36.985088652640584
Rule-Based Adaptive,user_040,test,1,0,3,154,turn_taking,1,False,0.4185310033949432,0.09999999999999999,0.7982763025735288,0.3203207508192308,0.52,0.5,0,39.98242685031855
Rule-Based Adaptive,user_040,test,1,0,4,199,conflict_resolution,1,False,0.41880925531327784,0.09999999999999999,0.8151682174542609,0.288391933846664,0.52,0.5,0,41.788531260371485
Rule-Based Adaptive,user_040,test,1,0,5,19,sharing,1,True,0.8844081721489466,0.0,0.8487219609570718,0.5519438924121671,0.53,0.5,0,42.50719622842141
Rule-Based Adaptive,user_040,test,1,0,6,64,patience,1,True,0.8297150989193147,0.09999999999999999,0.8501643275592039,0.2844386710103572,0.54,0.5,0,42.98777323849672
Rule-Based Adaptive,user_040,test,1,0,7,109,emotion_recognition,1,True,0.8419479325954885,0.0,0.7355887939196387,0.4951419627973118,0.55,0.5,0,45.3853120993914
Rule-Based Adaptive,user_040,test,1,0,8,154,turn_taking,1,True,0.8683333304043491,0.0,0.8020347551837039,0.5381526923282536,0.56,0.5,0,45.796542029636804
Rule-Based Adaptive,user_040,test,1,0,9,208,conflict_resolution,2,True,0.8609728290612333,0.0,0.784113959758042,0.5249242742254712,0.5700000000000001,0.5,0,46.404983723395176
Rule-Based Adaptive,user_040,test,1,0,10,28,sharing,3,False,0.3151040941964597,0.6,0.8042262501372143,0.11890812770196946,0.5700000000000001,0.5,0,46.47208944859057
