agent,user_id,split,severity,episode,step,action_idx,scenario_type,difficulty,task_completed,reward,frustration,engagement,confidence,cooperation,fairness,num_retries,completion_time
fixed_curriculum,user_000,train,2,0,0,1,sharing,1,True,0.9536199523187214,0.09999999999999999,1.0,0.81079968212481,0.51,0.5,0,9.47900158575176
fixed_curriculum,user_000,train,2,0,1,46,patience,1,True,0.9478618060754115,0.09999999999999999,1.0,0.7724120405027435,0.52,0.5,0,9.361297495124754
fixed_curriculum,user_000,train,2,0,2,91,emotion_recognition,1,False,0.5042747777329588,0.3,1.0,0.6884985182197251,0.52,0.5,0,9.429267385010812
fixed_curriculum,user_000,train,2,0,3,136,turn_taking,1,True,0.9322192450491538,0.19999999999999998,1.0,0.7681283003276924,0.53,0.5,0,9.04003792912708
fixed_curriculum,user_000,train,2,0,4,181,conflict_resolution,1,True,0.9677702374863897,0.0,1.0,0.8051349165759312,0.54,0.5,0,9.37051766502025
fixed_curriculum,user_000,train,2,0,5,10,sharing,1,True,0.9303292133536759,0.19999999999999998,1.0,0.7555280890245064,0.55,0.5,0,9.259450133350265
fixed_curriculum,user_000,train,2,0,6,55,patience,1,True,0.9513254267536799,0.09999999999999999,1.0,0.7955028450245336,0.56,0.5,0,9.334751735402307
fixed_curriculum,user_000,train,2,0,7,100,emotion_recognition,1,True,0.9286199582944001,0.19999999999999998,1.0,0.7441330552960015,0.5700000000000001,0.5,0,9.2505559362422
fixed_curriculum,user_000,train,2,0,8,145,turn_taking,1,True,0.9695727227917883,0.0,1.0,0.8171514852785886,0.5800000000000001,0.5,0,9.100196626634395
fixed_curriculum,user_000,train,2,0,9,190,conflict_resolution,1,True,0.932145213681995,0.19999999999999998,1.0,0.7676347578799665,0.5900000000000001,0.5,0,9.213102243300916
fixed_curriculum,user_000,train,2,0,10,19,sharing,1,True,0.9322698949361324,0.19999999999999998,1.0,0.768465966240883,0.6000000000000001,0.5,0,8.862931592967675
fixed_curriculum,user_000,train,2,0,11,64,patience,1,True,0.9271023151066418,0.19999999999999998,1.0,0.7340154340442788,0.6100000000000001,0.5,0,9.598652952185935
fixed_curriculum,user_000,train,2,0,12,109,emotion_recognition,1,True,0.9491967290693624,0.09999999999999999,1.0,0.7813115271290829,0.6200000000000001,0.5,0,9.61716636130435
fixed_curriculum,user_000,train,2,0,13,154,turn_taking,1,True,0.931718066882419,0.19999999999999998,1.0,0.7647871125494605,0.6300000000000001,0.5,0,9.832907881627653
fixed_curriculum,user_000,train,2,0,14,199,conflict_resolution,1,True,0.9524192545982493,0.09999999999999999,1.0,0.8027950306549949,0.6400000000000001,0.5,0,9.21367860247884
fixed_curriculum,user_000,train,2,0,15,28,sharing,2,False,0.5016106202963169,0.3,1.0,0.6707374686421124,0.6400000000000001,0.5,0,9.410958162990251
fixed_curriculum,user_000,train,2,0,16,73,patience,3,False,0.36077885429766393,0.9,1.0,0.331859028651093,0.6400000000000001,0.5,0,9.262041615422314
fixed_curriculum,user_000,train,2,0,17,118,emotion_recognition,4,True,0.972895350286697,0.0,1.0,0.8393023352446474,0.6500000000000001,0.5,0,9.083740158633407
fixed_curriculum,user_000,train,2,0,18,163,turn_taking,5,False,0.5064972875784063,0.3,1.0,0.7033152505227087,0.6500000000000001,0.5,0,9.197606200127126
fixed_curriculum,user_000,train,2,0,19,208,conflict_resolution,5,True,0.9303418524959084,0.19999999999999998,1.0,0.755612349972723,0.6600000000000001,0.5,0,8.883028884341586
fixed_curriculum,user_001,train,2,0,0,1,sharing,1,False,0.5083699523187215,0.3,1.0,0.7157996821248099,0.5,0.5,0,13.282572412754138
