agent,user_id,split,severity,episode,step,action_idx,scenario_type,difficulty,task_completed,reward,frustration,engagement,confidence,cooperation,fairness,num_retries,completion_time
random,user_000,train,2,0,0,20,sharing,3,False,0.5083699523187215,0.3,1.0,0.7157996821248099,0.5,0.5,0,10.746837983346449
random,user_000,train,2,0,1,174,turn_taking,5,False,0.2723682763790959,0.39999999999999997,0.3,0.6424551758606394,0.5,0.5,0,9.648086977044612
random,user_000,train,2,0,2,147,turn_taking,4,False,0.27680640065146467,0.39999999999999997,0.3,0.6720426710097646,0.5,0.5,0,8.836629312833814
random,user_000,train,2,0,3,98,emotion_recognition,2,True,0.9530204694308875,0.09999999999999999,1.0,0.8068031295392506,0.51,0.5,0,9.503095224388895
random,user_000,train,2,0,4,97,emotion_recognition,1,True,0.9066499425725778,0.3,1.0,0.6976662838171854,0.52,0.5,0,9.632895418374837
random,user_000,train,2,0,5,193,conflict_resolution,1,True,0.7219590136490719,0.19999999999999998,0.3,0.766393424327146,0.53,0.5,0,8.9743470736504
random,user_000,train,2,0,6,19,sharing,1,False,0.5047617408046849,0.3,1.0,0.6917449386978999,0.53,0.5,0,8.83957874890995
random,user_000,train,2,0,7,156,turn_taking,1,True,0.7595727227917883,0.0,0.3,0.8171514852785886,0.54,0.5,0,8.025070354122363
random,user_000,train,2,0,8,45,patience,1,True,0.722145213681995,0.19999999999999998,0.3,0.7676347578799665,0.55,0.5,0,7.607624471145442
random,user_000,train,2,0,9,21,sharing,1,True,0.7222698949361325,0.19999999999999998,0.3,0.768465966240883,0.56,0.5,0,7.014969145661733
random,user_000,train,2,0,10,118,emotion_recognition,2,True,0.9271023151066418,0.19999999999999998,1.0,0.7340154340442788,0.5700000000000001,0.5,0,8.305079239071777
random,user_000,train,2,0,11,219,conflict_resolution,4,True,0.7391967290693624,0.09999999999999999,0.3,0.7813115271290829,0.5800000000000001,0.5,0,7.842231973692179
random,user_000,train,2,0,12,165,turn_taking,5,False,0.15084306688241905,0.9,0.3,0.3322871125494605,0.5800000000000001,0.5,0,7.2076529015303565
random,user_000,train,2,0,13,171,turn_taking,5,False,0.27875505844266896,0.39999999999999997,0.3,0.6850337229511262,0.5800000000000001,0.5,0,6.5527191250097285
random,user_000,train,2,0,14,161,turn_taking,5,True,0.9496968656129684,0.09999999999999999,1.0,0.7846457707531234,0.5900000000000001,0.5,0,8.507528716178175
random,user_000,train,2,0,15,176,turn_taking,5,False,0.40527404883411305,0.7,1.0,0.42849365889408714,0.5900000000000001,0.5,0,8.951191766258978
random,user_000,train,2,0,16,115,emotion_recognition,5,True,0.9529641600376731,0.09999999999999999,1.0,0.8064277335844878,0.6000000000000001,0.5,0,8.64302782060812
random,user_000,train,2,0,17,28,sharing,5,True,0.9713649504410222,0.0,1.0,0.8290996696068156,0.6100000000000001,0.5,0,8.771029411610355
random,user_000,train,2,0,18,188,conflict_resolution,3,True,0.9303418524959084,0.19999999999999998,1.0,0.755612349972723,0.6200000000000001,0.5,0,9.562306950080886
random,user_000,train,2,0,19,101,emotion_recognition,2,True,0.90632900283765,0.3,1.0,0.6955266855843341,0.6300000000000001,0.5,0,11.534972468674049
random,user_001,train,2,0,0,112,emotion_recognition,3,False,0.5083699523187215,0.3,1.0,0.7157996821248099,0.5,0.5,0,13.282572412754138
random,user_001,train,2,0,1,83,patience,5,False,0.4823682763790959,0.39999999999999997,1.0,0.6424551758606394,0.5,0.5,0,19.27597167486944
random,user_001,train,2,0,2,41,sharing,5,False,0.48680640065146463,0.39999999999999997,1.0,0.6720426710097646,0.5,0.5,0,23.27260488450813
random,user_001,train,2,0,3,208,conflict_resolution,5,True,0.9530204694308875,0.09999999999999999,1.0,0.8068031295392506,0.51,0.5,0,21.85342033564294
random,user_001,train,2,0,4,175,turn_taking,5,False,0.48652494257257783,0.39999999999999997,1.0,0.6701662838171856,0.51,0.5,0,21.569496171122616
random,user_001,train,2,0,5,144,turn_taking,4,False,0.48545042675368,0.39999999999999997,1.0,0.6630028450245337,0.51,0.5,0,19.372946448472252
random,user_001,train,2,0,6,90,emotion_recognition,2,True,0.9284260723562285,0.19999999999999998,1.0,0.7428404823748569,0.52,0.5,0,18.847258530759806
random,user_001,train,2,0,7,185,conflict_resolution,1,True,0.9305243809267698,0.19999999999999998,1.0,0.7568292061784658,0.53,0.5,0,21.339114420723778
random,user_001,train,2,0,8,122,emotion_recognition,2,False,0.38103320702060817,0.8,1.0,0.36688804680405457,0.53,0.5,0,22.469751589128478
random,user_001,train,2,0,9,99,emotion_recognition,1,False,0.48342567731982966,0.39999999999999997,1.0,0.6495045154655312,0.53,0.5,0,20.86290462723301
random,user_001,train,2,0,10,101,emotion_recognition,1,True,0.9491967290693624,0.09999999999999999,1.0,0.7813115271290829,0.54,0.5,0,24.128560295590987
random,user_001,train,2,0,11,51,patience,1,True,0.931718066882419,0.19999999999999998,1.0,0.7647871125494605,0.55,0.5,0,21.9854736584593
random,user_001,train,2,0,12,20,sharing,1,False,0.42279425459824926,0.6,1.0,0.44529503065499504,0.55,0.5,0,25.61751452673755
random,user_001,train,2,0,13,124,emotion_recognition,2,False,0.5040067717001719,0.3,1.0,0.6867118113344801,0.55,0.5,0,24.600157769840564
random,user_001,train,2,0,14,199,conflict_resolution,2,False,0.42477404883411307,0.6,1.0,0.45849365889408705,0.55,0.5,0,22.24357152435482
random,user_001,train,2,0,15,14,sharing,1,True,0.9724641600376731,0.0,1.0,0.8364277335844879,0.56,0.5,0,23.38305725817981
random,user_001,train,2,0,16,193,conflict_resolution,1,True,0.9713649504410222,0.0,1.0,0.8290996696068156,0.5700000000000001,0.5,0,22.75540296716334
random,user_001,train,2,0,17,186,conflict_resolution,1,True,0.9303418524959084,0.19999999999999998,1.0,0.755612349972723,0.5800000000000001,0.5,0,19.945996786434872
random,user_001,train,2,0,18,62,patience,1,True,0.9032944973748849,0.3,0.9898849817907824,0.6955266855843341,0.5900000000000001,0.5,0,25.327154494921157
random,user_001,train,2,0,19,142,turn_taking,1,False,0.4617653656001602,0.5,1.0,0.6051024373344014,0.5900000000000001,0.5,0,23.66043589393385
random,user_002,train,2,0,0,37,sharing,5,False,0.5083699523187215,0.3,1.0,0.7157996821248099,0.5,0.5,0,9.280513178674417
random,user_002,train,2,0,1,170,turn_taking,5,False,0.4823682763790959,0.39999999999999997,1.0,0.6424551758606394,0.5,0.5,0,10.118339034856879
random,user_002,train,2,0,2,157,turn_taking,5,False,0.48680640065146463,0.39999999999999997,1.0,0.6720426710097646,0.5,0.5,0,9.618435059870869
random,user_002,train,2,0,3,79,patience,5,True,0.7430204694308875,0.09999999999999999,0.3,0.8068031295392506,0.51,0.5,0,8.752073560948705
random,user_002,train,2,0,4,15,sharing,4,False,0.2765249425725778,0.39999999999999997,0.3,0.6701662838171853,0.51,0.5,0,7.720150240341931
random,user_002,train,2,0,5,218,conflict_resolution,5,False,0.48545042675368005,0.39999999999999997,1.0,0.6630028450245338,0.51,0.5,0,8.507163868455061
random,user_002,train,2,0,6,100,emotion_recognition,4,True,0.9284260723562285,0.19999999999999998,1.0,0.7428404823748569,0.52,0.5,0,8.696212077727978
random,user_002,train,2,0,7,200,conflict_resolution,4,False,0.4852743809267699,0.39999999999999997,1.0,0.6618292061784657,0.52,0.5,0,9.450106360390702
random,user_002,train,2,0,8,152,turn_taking,3,True,0.9686604064719102,0.0,1.0,0.8110693764794011,0.53,0.5,0,9.612019524251483
random,user_002,train,2,0,9,175,turn_taking,5,False,0.5029256773198296,0.3,1.0,0.6795045154655313,0.53,0.5,0,9.390729342837897
random,user_002,train,2,0,10,170,turn_taking,5,True,0.9491967290693624,0.09999999999999999,1.0,0.7813115271290829,0.54,0.5,0,10.030821979637881
